price_segment,row_count,linear_mape,advanced_mape,linear_mdape,advanced_mdape
<$300k,279,2.717213453944687,1.5136930447008337,0.5792531042419907,0.0530845518867924
$300k-$500k,1419,0.3334903080960774,0.0361042176916526,0.1884594647419422,0.0220128810975609
$500k-$1M,4897,0.2188142992793433,0.0319306909792364,0.1222238251949444,0.0215448190789473
$1M-$3M,4686,0.1246580774288997,0.0418305158430327,0.071070205219311,0.0281899059239273
$3M+,740,0.0884607649477315,0.0634140224354092,0.0668957462391681,0.0403642691508076
