experiment_name,feature_count,train_rows,rows_removed,R2,MAPE,MdAPE,MAE,RMSE
baseline_plus_list_price_per_sqft,14,117996,0,0.6336902567393288,0.24492947924709657,0.10070306106781662,198643.21241302526,1014906.9752487399
baseline_reference,13,117996,0,0.6334868860465703,0.2460312006265898,0.10143322481185976,199158.72930249476,1015188.6681307541
train_closeprice_ge_100000,13,117869,127,0.6333768618844122,0.24681375585084675,0.10171602350853261,199563.3845024985,1015341.03225792
train_closeprice_ge_100000_livingarea_ge_400,13,117856,140,0.6333158276066363,0.24725718375950148,0.1019177006086354,199808.18763302243,1015425.5441465654
