model_name,MAE,RMSE,R2,MAPE,MdAPE,feature_set,filtered_training,feature_count,train_rows,max_depth,learning_rate,n_estimators,min_child_weight,min_prediction,max_prediction,predictions_over_50m
LinearRegression,176033.51325583394,1009587.8901510151,0.6371693989064846,0.19526296764928913,0.08245295327901248,,,,,,,,,,,
xgb_log_market_context_all,75748.9291006364,1013238.9295096623,0.6345403972434747,0.07237922474701884,0.025109126984126984,market_context,False,28.0,59505.0,3.0,0.03,600.0,15.0,72940.53125,26379218.0,0.0
xgb_log_reality_all,75476.9368247494,1013314.4238237299,0.63448593595292,0.07284218393636224,0.025253015848029196,reality,False,23.0,59505.0,3.0,0.03,600.0,15.0,67936.2578125,25502302.0,0.0
xgb_log_market_context_filtered,76023.72639092525,1031333.8921781832,0.6213706961550802,0.07204257181916286,0.024333193804939306,market_context,True,28.0,59390.0,3.0,0.05,450.0,25.0,111449.8359375,18026948.0,0.0
xgb_log_baseline_all,82620.99537918018,1043080.7635674957,0.6126964163108957,0.07407550101839375,0.026158928571428573,baseline,False,13.0,59505.0,3.0,0.05,450.0,25.0,81742.9453125,18564736.0,0.0
