model_name,log_target,feature_count,numeric_feature_count,categorical_feature_count,MAE,RMSE,R2,MAPE,MdAPE
county_only_raw_target,False,13,12,1,199158.72930249476,1015188.6681307541,0.6334868860465703,0.2460312006265898,0.10143322481185976
county_only_log_target,True,13,12,1,528614.5576103707,14769964.754516922,-76.58091789196882,0.24966509059759065,0.15730092506797208
no_geo_log_target,True,10,10,0,2001257.8034567824,130550886.9606107,-6060.1586144759,0.3679356343172597,0.2196465231982971
