model_name,train_rows,test_rows,MAE,RMSE,R2,MAPE,MdAPE
compact_engineered_features,118292,12021,202077.73,1014488.36,0.6336,0.2492,0.1072
baseline_features,118292,12021,199044.84,1014622.2,0.6335,0.2458,0.1014
refined_engineered_features,118292,12021,213149.11,1020312.39,0.6294,0.2678,0.1171
district_swap_features,118292,12021,216407.22,1060573.54,0.5996,0.2745,0.1181
full_engineered_features,118292,12021,245054.85,1076784.68,0.5873,0.3213,0.1223
