feature,importance
cat__unified_district_name_Manhattan Beach Unified,0.0
cat__unified_district_name_San Gabriel Unified,0.0
cat__unified_district_name_San Jacinto Unified,0.0
cat__unified_district_name_San Jose Unified,0.0
cat__unified_district_name_San Juan Unified,0.0
cat__unified_district_name_San Leandro Unified,0.0
cat__unified_district_name_San Lorenzo Unified,0.0
cat__unified_district_name_San Lorenzo Valley Unified,0.0
cat__unified_district_name_San Luis Coastal Unified,0.0
cat__unified_district_name_San Marcos Unified,0.0
cat__unified_district_name_San Ramon Valley Unified,0.0
cat__unified_district_name_Sanger Unified,0.0
cat__unified_district_name_Santa Ana Unified,0.0
cat__unified_district_name_Santa Barbara Unified,0.0
cat__unified_district_name_Santa Clara Unified,0.0
cat__unified_district_name_Santa Monica-Malibu Unified,0.0
cat__unified_district_name_Santa Paula Unified,0.0
cat__unified_district_name_Scotts Valley Unified,0.0
cat__unified_district_name_Sierra Sands Unified,0.0
cat__unified_district_name_Silver Valley Unified,0.0
cat__unified_district_name_Simi Valley Unified,0.0
cat__unified_district_name_Snowline Joint Unified,0.0
cat__unified_district_name_Manteca Unified,0.0
cat__unified_district_name_Los Banos Unified,0.0
cat__unified_district_name_Madera Unified,0.0
cat__unified_district_name_Bassett Unified,0.0
cat__unified_district_name_Alhambra Unified,0.0
cat__unified_district_name_Alvord Unified,0.0
cat__unified_district_name_Antioch Unified,0.0
cat__unified_district_name_Apple Valley Unified,0.0
cat__unified_district_name_Arcadia Unified,0.0
cat__unified_district_name_Aromas - San Juan Unified,0.0
cat__unified_district_name_Atascadero Unified,0.0
cat__unified_district_name_Azusa Unified,0.0
cat__unified_district_name_Baldwin Park Unified,0.0
cat__unified_district_name_Banning Unified,0.0
cat__unified_district_name_Banta Unified,0.0
cat__unified_district_name_Barstow Unified,0.0
cat__unified_district_name_Bear Valley Unified,0.0
cat__unified_district_name_Lynwood Unified,0.0
cat__unified_district_name_Beaumont Unified,0.0
cat__unified_district_name_Bellflower Unified,0.0
cat__CountyOrParish_Imperial,0.0
cat__unified_district_name_Beverly Hills Unified,0.0
cat__unified_district_name_Bonita Unified,0.0
cat__unified_district_name_Bonsall Unified,0.0
cat__unified_district_name_Borrego Springs Unified,0.0
cat__unified_district_name_Brea-Olinda Unified,0.0
cat__unified_district_name_Burbank Unified,0.0
cat__unified_district_name_Capistrano Unified,0.0
cat__unified_district_name_Carlsbad Unified,0.0
cat__unified_district_name_Carmel Unified,0.0
cat__unified_district_name_Alameda Unified,0.0
cat__unified_district_name_Acton-Agua Dulce Unified,0.0
cat__unified_district_name_ABC Unified,0.0
cat__CountyOrParish_infrequent_sklearn,0.0
cat__CountyOrParish_Mendocino,0.0
cat__CountyOrParish_Merced,0.0
cat__CountyOrParish_Monterey,0.0
cat__CountyOrParish_Napa,0.0
cat__CountyOrParish_Orange,0.0
cat__CountyOrParish_Placer,0.0
cat__CountyOrParish_Madera,0.0
cat__CountyOrParish_Sacramento,0.0
cat__CountyOrParish_San Benito,0.0
cat__CountyOrParish_Lake,0.0
cat__CountyOrParish_San Joaquin,0.0
cat__CountyOrParish_San Luis Obispo,0.0
cat__CountyOrParish_San Mateo,0.0
cat__CountyOrParish_Santa Barbara,0.0
cat__CountyOrParish_Kings,0.0
cat__CountyOrParish_Santa Cruz,0.0
cat__CountyOrParish_Shasta,0.0
cat__CountyOrParish_Solano,0.0
cat__CountyOrParish_Sonoma,0.0
cat__CountyOrParish_Stanislaus,0.0
cat__CountyOrParish_Sutter,0.0
cat__CountyOrParish_Tehama,0.0
cat__CountyOrParish_Tulare,0.0
cat__CountyOrParish_Yolo,0.0
cat__CountyOrParish_Yuba,0.0
cat__unified_district_name_Castro Valley Unified,0.0
cat__unified_district_name_Central Unified,0.0
cat__unified_district_name_Charter Oak Unified,0.0
cat__unified_district_name_Garden Grove Unified,0.0
cat__unified_district_name_Glendora Unified,0.0
cat__unified_district_name_Golden Valley Unified,0.0
cat__unified_district_name_Hacienda la Puente Unified,0.0
cat__unified_district_name_Hayward Unified,0.0
cat__unified_district_name_Hemet Unified,0.0
