model_name,MAE,RMSE,R2,MAPE,MdAPE,min_prediction,max_prediction,predictions_under_0,predictions_over_50m
hist_gradient_boosting_log_4_inputs,516220.63502669695,1398761.4162521658,0.30420182717937205,0.4399987711325776,0.31199980107523007,238429.48496416077,13821700.347663473,0,0
random_forest_log_4_inputs,534154.8093344012,1404465.4041236727,0.298515487112032,0.4602320324025553,0.33649911209074457,263866.1336155459,14416546.419066546,0,0
median_dummy,686182.1730240693,1729566.2304215687,-0.0638254847905182,0.5378302385671233,0.40476190476190477,885000.0,885000.0,0,0
linear_log_4_inputs,853370.6852379772,29814125.903824903,-315.11139984713157,0.4985989765112617,0.3574647748066873,459765.6333173351,3272303321.996972,0,2
ridge_log_4_inputs,853181.4357447908,29795243.68015622,-314.7111200580335,0.4985887970833728,0.3574945066578126,459744.63406879373,3270234565.4386616,0,2
