model_name,MAE,RMSE,R2,MAPE,MdAPE
LinearRegression,176134.1128455535,1010179.0949797271,0.6370951692075499,0.19541444856865672,0.08243243340516983
RandomForest,350910.1544967106,1294788.7043442824,0.40379749054627234,0.40622480146413364,0.1896815530228209
DecisionTree,202766.878195657,1319878.0052807468,0.3804682342759772,0.2298537042654507,0.06647348322820365
